product_id,product_name,category,price
1,integrate mission-critical e-commerce,Groceries,145.94
2,scale collaborative ROI,Toys,913.11
3,benchmark world-class markets,Books,472.26
4,aggregate transparent schemas,Toys,206.74
5,deliver efficient eyeballs,Groceries,646.29
6,enhance interactive technologies,Electronics,667.94
7,aggregate bleeding-edge partnerships,Clothing,382.53
8,visualize cross-platform networks,Electronics,744.05
9,aggregate front-end mindshare,Groceries,478.87
10,revolutionize sticky deliverables,Books,855.06
11,envisioneer virtual e-tailers,Toys,401.61
12,aggregate frictionless schemas,Electronics,580.38
13,innovate visionary vortals,Toys,631.77
14,envisioneer cross-media content,Groceries,84.02
15,transition distributed relationships,Books,22.75
16,synergize B2B e-services,Books,689.43
17,embrace world-class communities,Electronics,525.13
18,reinvent e-business models,Toys,517.5
19,expedite back-end e-business,Clothing,877.27
20,cultivate open-source channels,Books,241.24
21,e-enable value-added e-tailers,Books,838.47
22,aggregate customized deliverables,Groceries,494.37
23,expedite rich communities,Books,915.24
24,aggregate value-added vortals,Clothing,199.2
25,mesh enterprise niches,Groceries,303.21
26,embrace cross-platform ROI,Groceries,794.93
27,engineer frictionless networks,Electronics,562.03
28,envisioneer sticky e-business,Groceries,466.69
29,facilitate turn-key infrastructures,Groceries,467.38
30,monetize interactive markets,Toys,602.17
31,unleash dynamic partnerships,Books,708.28
32,incentivize out-of-the-box relationships,Electronics,91.54
33,grow seamless ROI,Groceries,589.52
34,enable plug-and-play info-mediaries,Toys,466.44
35,iterate dot-com models,Books,589.96
36,cultivate granular technologies,Groceries,18.86
37,redefine dot-com web services,Electronics,751.93
38,embrace bricks-and-clicks niches,Books,259.17
39,envisioneer B2C content,Books,782.17
40,mesh intuitive systems,Books,383.48
41,streamline clicks-and-mortar channels,Clothing,390.44
42,harness dot-com vortals,Toys,893.37
43,grow seamless metrics,Electronics,769.17
44,streamline interactive systems,Clothing,213.08
45,facilitate bricks-and-clicks portals,Books,252.63
46,synergize strategic e-markets,Clothing,494.93
47,re-intermediate enterprise action-items,Clothing,314.25
48,reinvent strategic technologies,Books,994.48
49,incentivize enterprise applications,Clothing,606.75
50,transition efficient eyeballs,Clothing,175.29
51,brand plug-and-play content,Books,292.42
52,benchmark granular web-readiness,Books,426.71
53,morph cross-platform content,Toys,759.19
54,integrate dynamic bandwidth,Groceries,5.2
55,transition granular communities,Electronics,325.33
56,engage intuitive bandwidth,Toys,947.72
57,iterate impactful e-tailers,Electronics,479.68
58,e-enable clicks-and-mortar e-markets,Electronics,131.52
59,streamline 24/7 platforms,Groceries,968.21
60,target virtual paradigms,Groceries,877.45
61,redefine intuitive infrastructures,Toys,511.17
62,matrix efficient web-readiness,Toys,235.31
63,unleash mission-critical technologies,Groceries,308.48
64,whiteboard synergistic synergies,Toys,173.47
65,scale holistic e-services,Clothing,781.91
66,exploit extensible web-readiness,Books,696.18
67,synergize dot-com schemas,Books,894.98
68,harness bricks-and-clicks e-commerce,Clothing,249.91
69,monetize global content,Clothing,957.16
70,incubate distributed e-business,Books,900.37
71,evolve vertical eyeballs,Toys,235.33
72,transform intuitive e-business,Books,204.8
73,embrace B2C e-tailers,Groceries,101.49
74,implement mission-critical solutions,Toys,298.37
75,expedite mission-critical partnerships,Electronics,301.18
76,exploit distributed ROI,Books,200.75
77,e-enable out-of-the-box systems,Toys,114.94
78,unleash transparent action-items,Toys,791.66
79,incentivize end-to-end infrastructures,Electronics,370.95
80,repurpose transparent infrastructures,Toys,583.5
81,maximize innovative technologies,Groceries,850.41
82,strategize B2C users,Books,41.97
83,cultivate seamless architectures,Clothing,236.28
84,aggregate B2B ROI,Books,235.35
85,target e-business metrics,Toys,610.25
86,leverage e-business bandwidth,Electronics,727.82
87,repurpose seamless functionalities,Electronics,120.95
88,leverage magnetic solutions,Electronics,550.39
89,harness dynamic communities,Toys,600.93
90,harness killer markets,Groceries,364.12
91,deliver dynamic paradigms,Electronics,811.33
92,re-intermediate proactive interfaces,Groceries,690.33
93,harness open-source technologies,Clothing,151.07
94,morph distributed markets,Electronics,782.14
95,incubate cross-media markets,Groceries,732.93
96,harness leading-edge eyeballs,Books,181.78
97,embrace killer systems,Books,398.47
98,incentivize granular initiatives,Groceries,297.19
99,benchmark visionary applications,Toys,836.87
100,reinvent killer web services,Groceries,267.2
101,visualize integrated info-mediaries,Toys,344.1
102,envisioneer revolutionary technologies,Clothing,46.99
103,maximize rich interfaces,Clothing,707.6
104,utilize dynamic markets,Books,332.09
105,grow impactful e-business,Toys,559.29
